4167479319: Sabatia kennedyana
1039012209: Solidago rugosa
1039017798: Carex intumescens
1039019287: Lolium perenne
1039024079: Solidago flexicaulis
1038919124: Asplenium trichomanes
1038927790: Dichanthelium lanuginosum
1038929172: Carex cephalophora
1038936977: Carex rosea
1038944911: Viburnum dentatum
1038948400: Dichanthelium linearifolium
1038949260: Dichanthelium lanuginosum
1038957847: Cornus alternifolia
1038965012: Torreyochloa pallida
1038969136: Sporobolus michauxianus
1038980337: Prunus domestica
1038981467: Cyperus filicinus
1038982612: Solidago petiolaris
1038985094: Festuca ovina
1038988790: Glyceria grandis
1038996409: Dryopteris clintoniana
1039003540: Osmorhiza claytonii
1039013223: Artemisia vulgaris
1039018266: Carex pensylvanica
1039024597: Carya glabra
1038919380: Corallorhiza maculata
1038926699: Aralia racemosa
1038936514: Platanthera psycodes
1038945280: Krigia virginica
1038946733: Platanthera hookeri
1038950366: Datura innoxia
1038952851: Alisma triviale
1038954234: Carex riparia
1038958386: Carex gracillima
1038959022: Arctostaphylos uva-ursi
1038960408: Thalictrum pubescens
1038965472: Pedicularis canadensis
1038968116: Symphyotrichum dumosum
1038972688: Callitriche deflexa
1038976444: Carex grisea
1038977892: Arethusa bulbosa
1038980442: Chimaphila umbellata
1038981255: Pastinaca sativa
1038982517: Nasturtium officinale
1038983765: Osmundastrum cinnamomeum
1038987711: Agalinis purpurea
1038994964: Symphyotrichum cordifolium
1038998744: Gratiola lutea
1039000764: Kalmia angustifolia
1039014113: Rhynchospora fusca
1039017753: Asplenium rhizophyllum
1039020370: Luzula multiflora
1039025334: Claytonia virginica
1038920034: Viola rotundifolia
1038930950: Carex deweyana
1038932217: Osmorhiza claytonii
1038937879: Symphyotrichum cordifolium
1038938571: Eleocharis acicularis
1038940902: Silene stellata
1038945326: Achillea ptarmica
1038951591: Mentha canadensis
1038956694: Potamogeton robbinsii
1038958838: Cyperus strigosus
1038959781: Castilleja coccinea
1038966369: Symphyotrichum laeve
1038967596: Viburnum lantanoides
1038968942: Helenium autumnale
1038972189: Carex debilis
1038974849: Najas flexilis
1038983182: Carex echinata
1038985670: Schoenoplectus pungens
1038986720: Vitis aestivalis
1038997483: Symphyotrichum racemosum
1038999967: Utricularia vulgaris
1039007407: Malva alcea
1039011009: Gratiola lutea
1039012311: Stuckenia pectinata
1039013300: Rosa carolina
1039016550: Cymbalaria muralis
1039021508: Pogonia ophioglossoides
1039024698: Eleocharis equisetoides
1038923950: Iris versicolor
1038925991: Spiraea alba
1038928338: Panicum antidotale
1038940821: Juglans nigra
1038941522: Viburnum dentatum
1038953304: Schoenoplectus acutus
1038959947: Viola cucullata
1038961573: Briza media
1038964055: Potamogeton spirillus
1038964757: Avena sativa
1038973590: Salix eriocephala
1038977348: Dichanthelium lanuginosum
1038989411: Sporobolus compositus
1038991820: Schoenoplectus acutus
1038995825: Vicia faba
1039004179: Actaea pachypoda
1039018402: Solidago rigida
1038919101: Pilosella caespitosa
1038921431: Polygonum ramosissimum
1038922769: Eriocaulon aquaticum
1038925373: Platanthera psycodes
1038930116: Carex brevior
1038930849: Palustricodon aparinoides
1038932308: Carya cordiformis
1038934305: Veronica arvensis
1038935127: Antennaria neglecta
1038948341: Carex scabrata
1038949514: Veronica americana
1038956579: Carex blanda
1038958083: Carex pedunculata
1038966734: Pinus resinosa
1038968088: Hydrocotyle umbellata
1038969456: Galium lanceolatum
1038971743: Solidago juncea
1038974064: Calamagrostis canadensis
1038976241: Scutellaria integrifolia
1038976774: Phalaris canariensis
1038977889: Eleocharis quadrangulata
1038987457: Potamogeton epihydrus
1038990039: Carex lasiocarpa
1038991254: Hedeoma pulegioides
1038992408: Salsola tragus
1038994691: Spiranthes lacera
1038997399: Mikania scandens
1038998888: Carex leptalea
1039000086: Panicum capillare
1039001463: Adiantum pedatum
1039004950: Bromus ciliatus
1039007262: Avenella flexuosa
1039010861: Sagittaria graminea
1039015537: Carex magellanica
1039018984: Scheuchzeria palustris
1039020842: Castilleja coccinea
1038919093: Carex radiata
1038924796: Lysimachia producta
1038927373: Corylus cornuta
1038934098: Antennaria howellii
1038937559: Ipomoea pandurata
1038939293: Cyperus subsquarrosus
1038948903: Eleocharis diandra
1038951613: Veronica scutellata
1038966666: Symphyotrichum laeve
1038969525: Galium trifidum
1038977542: Solidago puberula
1038991418: Onopordum acanthium
1038992968: Dichanthelium latifolium
1038995842: Inula helenium
1039005705: Coleataenia longifolia
1039013844: Crataegus intricata
3051779004: Platanthera psycodes
2860528304: Spinulum annotinum
2651336550: Sceptridium multifidum
2265437445: Calla palustris
2814964301: Cardamine douglassii
1503302652: Asclepias syriaca
1913884734: Elymus virginicus
1978899343: Carex stricta
1993700541: Populus alba
1995316840: Salix candida
1978898998: Carex virescens
1978899259: Carex scoparia
2456362875: Thalictrum venulosum
1882649036: Matteuccia struthiopteris
1947780793: Carex communis
1632928308: Quercus prinoides
1880453164: Pteridium aquilinum
1932275270: Muhlenbergia sylvatica
1988305436: Juncus anthelatus
1882649139: Coryphopteris simulata
1986494727: Scirpus atrocinctus
1932275324: Calamagrostis stricta
1978899246: Carex umbellata
1503285012: Platanthera obtusata
1978899530: Eriophorum gracile
3075916304: Geum rivale
2416924070: Clematis occidentalis
3066874302: Fragaria vesca
2643304301: Cardamine bellidifolia
1882648944: Phegopteris connectilis
1978899461: Carex trisperma
1947780930: Carex folliculata
1901021281: Andropogon gerardi
1503286271: Platanthera blephariglottis
1931419234: Dichanthelium ovale
1503232747: Galearis rotundifolia
2313488711: Hepatica americana
1947780920: Carex digitalis
1931419650: Glyceria melicaria
1978899104: Carex sparganioides
1989004194: Scirpus atrocinctus
1989264527: Allium tricoccum
1989420082: Mitella diphylla
1989035285: Cardamine diphylla
1988736966: Parogonum ciliinode
1989366686: Thalictrum pubescens
1989198371: Claytosmunda claytoniana
1988860958: Carex canescens
1989516651: Persicaria amphibia
1988850432: Lactuca floridana
2331305864: Dendrolycopodium dendroideum
2651203345: Diphasiastrum sitchense
3353530310: Galearis spectabilis
2382923900: Platanthera aquilonis
1928697670: Carex tincta
1930265022: Spiranthes arcisepala
1928113572: Juncus canadensis
1929234014: Mentha canadensis
1931305241: Juncus greenei
1930940112: Carex lurida
1930619555: Carex lupulina
2424009702: Platanthera hookeri
1931282838: Hepatica acutiloba
1929322046: Botrychium simplex
1930287117: Solidago leiocarpa
1930876208: Carex cephalophora
1928993170: Crataegus schizophylla
1929545704: Solidago sempervirens
1929611302: Solanum emulans
1928291893: Solidago puberula
1930699119: Abies balsamea
1928498737: Mentha rotundifolia
1929115855: Rumex britannica
1928916863: Larix laricina
1930285142: Carex lurida
1928610130: Salix nigra
1929285845: Salix lucida
1929129741: Equisetum variegatum
1930559866: Andromeda polifolia
1930867605: Juncus pelocarpus
1927853858: Trifolium aureum
1929736611: Juniperus virginiana
1928053554: Carex longii
1929428985: Eleocharis tuberculosa
1930051474: Carex spicata
1928553969: Carex diandra
1929277228: Mentha arvensis
1930515268: Vicia cracca
1930279211: Carya ovata
1928779173: Pinus strobus
1929769660: Carex echinata
1931250939: Diphasiastrum digitatum
1928967128: Juncus brevicaudatus
1937517228: Lorinseria areolata
1931270462: Rumex acetosella
1930124644: Glyceria canadensis
1937523902: Deparia acrostichoides
1928659437: Carex bullata
1930106647: Mikania scandens
1931095537: Carex tonsa
1928754839: Cornus alternifolia
1930040328: Eubotrys racemosa
1929395508: Carex brevior
1929315924: Solidago uliginosa
2382934089: Platanthera grandiflora
1927917890: Rhododendron periclymenoides
1937513793: Lorinseria areolata
1927896217: Erigeron hyssopifolius
1929050501: Clematis virginiana
1930189554: Juncus effusus
1930755596: Carex comosa
1927769576: Dryopteris fragrans
1928966341: Solidago odora
1929524668: Astragalus robbinsii
1930801366: Juncus dichotomus
1928535308: Celastrus scandens
1929096080: Antennaria howellii
1928914504: Solidago bicolor
1928795990: Salix pyrifolia
1930097371: Carex spicata
2235398663: Aplectrum hyemale
1927900820: Salix bebbiana
1928485800: Agrostis canina
2382933352: Platanthera lacera
3969803645: Platanthera lacera
2573055041: Pinus banksiana
2573056276: Lobelia kalmii
2573056215: Nabalus albus
2573057841: Asplenium rhizophyllum
2573123082: Calamagrostis inexpansa
2573051449: Taxus canadensis
2573057760: Robinia viscosa
2573057605: Sparganium americanum
2573062790: Arisaema triphyllum
2573068592: Trillium grandiflorum
2573072947: Bolboschoenus maritimus
2573049073: Thuja occidentalis
2573054612: Cornus racemosa
2573058117: Betula cordifolia
2573077327: Rubus argutus
2573083385: Carex vesicaria
2573087172: Pontederia cordata
2573112317: Carex echinata
2573117206: Amelanchier laevis
2573122252: Luzula parviflora
2573052783: Sorbus scopulina
2573096825: Polystichum braunii
2573098335: Carex brunnescens
2573110115: Carex crawfordii
2573051813: Picea mariana
2573055187: Rubus flagellaris
2573058080: Viola palustris
2573096939: Carex albicans
2573099187: Heteranthera dubia
2573053041: Bidens beckii
2573100822: Potamogeton spirillus
2573103296: Osmundastrum cinnamomeum
2573112248: Shepherdia canadensis
2573054356: Osmorhiza longistylis
2573058671: Rubus canadensis
2573074693: Medeola virginiana
2573074292: Carex brunnescens
2573076467: Scleria reticularis
2573088263: Potamogeton gramineus
2573088994: Linum usitatissimum
2573106881: Rubus canadensis
2573118845: Sagittaria rigida
2573123108: Carex chordorrhiza
5028658963: Epilobium hornemannii
5028658654: Carex capitata
2859256981: Carex straminea
2859199116: Galium lanceolatum
2859003967: Pteridium aquilinum
5028658928: Carex capitata
1986983095: Dryopteris campyloptera
1927881393: Juncus greenei
1928900282: Solidago sempervirens
1927997887: Vaccinium vitis-idaea
1931113355: Solidago ulmifolia
1928905436: Celastrus scandens
1930284208: Rubus bicknellii
1927862421: Carex canescens
2270463903: Carex communis
2234579287: Dryopteris carthusiana
2331569623: Coryphopteris simulata
1990056488: Clethra alnifolia
5028658939: Carex capillaris
5028659226: Castilleja pallida
623648002: Carya glabra
318055182: Lathyrus palustris
623648004: Carya cordiformis
5067906938: Eurybia macrophylla
5067905143: Symphyotrichum lanceolatum
5067911404: Anaphalis margaritacea
5067909657: Arctium minus
5067912877: Ageratina altissima
5067911204: Solidago flexicaulis
5067913712: Spiraea tomentosa
5067916934: Glechoma hederacea
5067922152: Myosotis scorpioides
5067926540: Ligusticum scothicum
5067923827: Rorippa palustris
5067928110: Fallopia scandens
5067932607: Vaccinium corymbosum
5067931880: Moneses uniflora
5067933115: Vaccinium cespitosum
5067941591: Hypericum ellipticum
5067942107: Lonicera canadensis
5067945385: Salsola tragus
5067944611: Decodon verticillatus
5067958069: Argentina anserina
5067960869: Veronica officinalis
5067959232: Carex crawfordii
5067965674: Carex lurida
5067964898: Carex retrorsa
5067966099: Carex vestita
5067970721: Agrostis scabra
5067968929: Dichanthelium xanthophysum
5067971130: Cinna arundinacea
5067973710: Dichanthelium implicatum
5067973849: Muhlenbergia mexicana
5067982483: Sceptridium multifidum
5067979242: Juncus canadensis
5067905820: Alnus incana
5067908229: Arisaema triphyllum
5067909452: Pseudognaphalium obtusifolium
5067910690: Bidens cernua
5067910014: Pilosella aurantiaca
5067911208: Solidago gigantea
5067921051: Toxicodendron rydbergii
5067922292: Cardamine pensylvanica
5067923978: Typha glauca
5067929990: Pyrola elliptica
5067933290: Actaea rubra
5067935762: Lysimachia vulgaris
5067941180: Viburnum acerifolium
5067951464: Silene latifolia
5067949742: Penthorum sedoides
5067949991: Ribes cynosbati
5067956561: Amelanchier canadensis
5067960774: Viola primulifolia
5067963364: Carex crawfordii
5067964205: Cyperus strigosus
5067972821: Lycopodium clavatum
5067974613: Sitobolium punctilobum
5067977986: Huperzia lucidula
5067978152: Spinulum annotinum
5067980308: Matteuccia struthiopteris
5067981594: Dryopteris marginalis
5067982891: Dryopteris cristata
5067981098: Osmundastrum cinnamomeum
5067984363: Carex stipata
5067986579: Viola fimbriatula
5067984249: Lilium canadense
5067905875: Sagittaria latifolia
5067910617: Antennaria howellii
5067911119: Lactuca serriola
5067916052: Monarda didyma
5067921499: Gentianopsis crinita
5067921774: Utricularia vulgaris
5067923496: Angelica lucida
5067928713: Epigaea repens
5067933224: Vaccinium oxycoccos
5067934653: Lysimachia ciliata
5067934851: Quercus alba
5067935013: Quercus ilicifolia
5067939945: Salix planifolia
5067941192: Viburnum acerifolium
5067946627: Plantago lanceolata
5067951867: Tiarella cordifolia
5067950210: Sedum acre
5067957920: Amelanchier laevis
5067958190: Rubus allegheniensis
5067959976: Viola blanda
5067962131: Carex arctata
5067968199: Cyperus squarrosus
5067972384: Eriophorum tenellum
5067977205: Osmunda regalis
5067982904: Picea rubens
5067984870: Nuphar variegata
5067907986: Oclemena acuminata
5067909735: Bidens vulgata
5067909052: Hieracium scabrum
5067911273: Tragopogon pratensis
5067917286: Oxalis stricta
5067922495: Gentianopsis crinita
5067923414: Aralia nudicaulis
5067927674: Asclepias incarnata
5067923956: Xyris difformis
5067928161: Persicaria hydropiper
5067928746: Gaultheria procumbens
5067930008: Rhododendron canadense
5067929299: Hepatica acutiloba
5067935458: Coptis trifolia
5067934634: Thalictrum pubescens
5067934080: Juncus militaris
5067940730: Cornus canadensis
5067942038: Lobelia inflata
5067943293: Viburnum trilobum
5067947781: Polygala sanguinea
5067951513: Spergularia marina
5067952770: Portulaca oleracea
5067955560: Amelanchier canadensis
5067954796: Prunus pensylvanica
5067963729: Carex lurida
5067971328: Eleocharis palustris
5067971549: Scirpus cyperinus
5067977734: Lycopodiella inundata
5067975986: Calamagrostis purpurea
5067977197: Matteuccia struthiopteris
5067980720: Erigeron annuus
5067978982: Dryopteris goeldiana
5067980295: Salix petiolaris
5067988604: Triantha glutinosa
5067903843: Sagittaria cuneata
5067907093: Symphyotrichum puniceum
5067910365: Ambrosia trifida
5067909633: Antennaria neglecta
5067908875: Ageratina altissima
5067914454: Solidago uliginosa
5067915854: Circaea alpina
5067918032: Mentha canadensis
5067919707: Utricularia radiata
5067923219: Berteroa incana
5067927647: Asclepias incarnata
5067924141: Persicaria arifolia
5067930388: Potamogeton epihydrus
5067932006: Rhododendron canadense
5067929292: Actaea rubra
5067933458: Coptis trifolia
5067936626: Thalictrum pubescens
5067935027: Juncus gerardi
5067935285: Salix discolor
5067941625: Hypericum mutilum
5067941111: Lonicera canadensis
5067945369: Salicornia virginica
5067946599: Geranium robertianum
5067945898: Mollugo verticillata
5067944282: Arenaria serpyllifolia
5067948763: Claytonia caroliniana
5067951987: Ribes cynosbati
5067956044: Prunus virginiana
5067961349: Viola cucullata
5067961558: Agalinis tenuifolia
5067962220: Carex intumescens
5067963654: Carex nigra
5067963861: Carex projecta
5067971464: Rhynchospora capitellata
5067971707: Andropogon gerardi
5067973109: Athyrium filix-femina
5067975710: Dichanthelium boreale
5067977854: Diphasiastrum sabinifolium
5067978308: Abies balsamea
5067981597: Juniperus communis
5067980892: Sceptridium dissectum
5067984445: Carex sprengelii
5067984675: Vitis labrusca
5067985057: Carex hystericina
5067905597: Corylus cornuta
5067905898: Sagittaria latifolia
5067904144: Symphyotrichum lanceolatum
5067911412: Gnaphalium uliginosum
5067908655: Arctium minus
5067915486: Salix planifolia
5067920075: Amaranthus albus
5067922295: Cardamine pensylvanica
5067925708: Asclepias syriaca
5067932446: Potamogeton perfoliatus
5067937371: Aquilegia canadensis
5067934069: Juncus greenei
5067942717: Cornus amomum
5067947758: Vicia tetrasperma
5067945143: Robinia pseudoacacia
5067952689: Comptonia peregrina
5067951878: Tiarella cordifolia
5067954596: Crataegus coccinea
5067957804: Prunus virginiana
5067957067: Argentina anserina
5067958390: Verbena hastata
5067959650: Rubus idaeus
5067958873: Viola labradorica
5067965523: Carex interior
5067966752: Carex michauxiana
5067965949: Carex scoparia
5067972845: Uvularia sessilifolia
5067975631: Athyrium filix-femina
5067975005: Lycopodium clavatum
5067980194: Abies balsamea
5067987445: Setaria viridis
5067987051: Carex hystericina
5067989428: Spiranthes lacera
5067904376: Solanum dulcamara
5067904666: Potamogeton confervoides
5067905195: Symphyotrichum undulatum
5067912480: Triglochin maritima
5067910710: Bidens connata
5067909051: Hieracium scabrum
5067917789: Polygala ambigua
5067920778: Oenothera parviflora
5067922988: Acer saccharum
5067920211: Barbarea vulgaris
5067924411: Aralia nudicaulis
5067927166: Persicaria hydropiperoides
5067928387: Potamogeton epihydrus
5067928796: Harrimanella hypnoides
5067932087: Vaccinium angustifolium
5067933591: Ranunculus recurvatus
5067934819: Populus grandidentata
5067938254: Salix bebbiana
5067940643: Hypericum perforatum
5067948036: Pycnanthemum muticum
5067952650: Stellaria media
5067953575: Aronia melanocarpa
5067955808: Prunus virginiana
5067961410: Viola macloskeyi
5067964761: Carex merritt-fernaldii
5067971698: Agrostis gigantea
5067970911: Athyrium filix-femina
5067978224: Stellaria graminea
5067979236: Hypericum boreale
5067987469: Carex stricta
5067987894: Nuphar advena
5067990441: Maianthemum canadense
5067903379: Solanum dulcamara
5067903620: Ambrosia artemisiifolia
5067905157: Symphyotrichum novi-belgii
5067908432: Sisyrinchium montanum
5067912197: Solidago caesia
5067920898: Acer pensylvanicum
5067923319: Cardamine maxima
5067927789: Lepidium densiflorum
5067924068: Bistorta vivipara
5067926239: Polygonella articulata
5067932614: Arctostaphylos uva-ursi
5067930898: Hypopitys monotropa
5067937362: Anemone virginiana
5067935787: Lysimachia borealis
5067942307: Salix eriocephala
5067939642: Hypericum perforatum
5067942153: Sambucus racemosa
5067944416: Crocanthemum bicknellii
5067944702: Teucrium canadense
5067948029: Hamamelis virginiana
5067952381: Sagina nodosa
5067950892: Juglans cinerea
5067954826: Rubus allegheniensis
5067956106: Potentilla recta
5067960400: Rubus odoratus
5067966523: Carex lasiocarpa
5067967976: Carex tincta
5067966207: Cyperus strigosus
5067969435: Eriophorum viridicarinatum
5067968661: Aristida longespica
5067970895: Dichanthelium xanthophysum
5067974357: Sporobolus vaginiflorus
5067976243: Thuja occidentalis
5067982479: Sceptridium dissectum
5067990442: Trillium undulatum
5068013384: Sisyrinchium atlanticum
5077491551: Iris cristata
5077504773: Sparganium androcladum
5077542750: Vaccinium pallidum
5077468965: Myosotis laxa
5077490749: Glyceria canadensis
5077509592: Carex magellanica
5077552655: Platanthera hookeri
2242402194: Stellaria media
2859230343: Equisetum sylvaticum
5052317287: Diphasiastrum tristachyum
5052321544: Phegopteris connectilis
5052355477: Dryopteris marginalis
5052346724: Dryopteris boottii
5052344393: Osmundastrum cinnamomeum
4078019174: Diphasiastrum digitatum
4077988054: Lorinseria areolata
1135453008: Marsilea quadrifolia
1990222527: Tanacetum bipinnatum
1990255431: Viola fimbriatula
1990255599: Viola sororia
1990215991: Anethum graveolens
1990224922: Dryopteris carthusiana
1990249265: Veronica scutellata
1990248159: Apocynum floribundum
1990246932: Andromeda polifolia
1990251221: Achillea millefolium
1990245874: Salicornia europaea
1990245382: Honckenya peploides
1990183840: Juncus gerardi
1990234312: Sparganium natans
1990233912: Polygonatum biflorum
1990214879: Iris versicolor
1990233302: Arethusa bulbosa
2992157320: Utricularia vulgaris
2992166301: Utricularia bifida
1228593552: Solidago gigantea
1228449578: Carex deflexa
1228305856: Carex lucorum
1228630214: Glyceria borealis
1424769030: Carex tribuloides
1228505143: Solidago uliginosa
1265791448: Iris versicolor
1919926204: Dichanthelium depauperatum
1995316443: Salix sericea
1882649009: Dryopteris goeldiana
2242465652: Silene nivea
1986494652: Arisaema triphyllum
1882649411: Thelypteris palustris
1946182630: Carex capillaris
1914296577: Dichanthelium acuminatum
1949969846: Carex lupulina
2447820717: Ranunculus flabellaris
1931419359: Festuca rubra
1914296955: Dichanthelium acuminatum
4081308002: Genista tinctoria
4850287082: Isoetes engelmannii
4850291275: Dendrolycopodium hickeyi
4850293200: Dryopteris intermedia
5101173311: Athyrium filix-femina
3413420610: Carex chordorrhiza
3829946874: Polystichum acrostichoides
3965951366: Aphyllon uniflorum
3340042773: Sisyrinchium atlanticum
1039018816: Symphyotrichum lanceolatum
1039022721: Hamamelis virginiana
1038918758: Carex granularis
1038921097: Xyris caroliniana
1038925883: Eleocharis obtusa
1038929771: Solidago juncea
1038932247: Cyperus filicinus
1038937071: Eriophorum virginicum
1038940640: Viola rotundifolia
1038943320: Bolboschoenus fluviatilis
1038951950: Peltandra virginica
1038963900: Carex swanii
1038975762: Carpinus caroliniana
1038978371: Quercus alba
1038982548: Potamogeton robbinsii
1038984757: Viola labradorica
1038989480: Laportea canadensis
1038994275: Carex projecta
1038999451: Carum carvi
1039006537: Symphyotrichum undulatum
1039018793: Asclepias quadrifolia
1039019776: Eragrostis pilosa
3503185421: Stellaria graminea
4533906593: Heliopsis helianthoides
2573052807: Taxus canadensis
2573054519: Dicentra canadensis
2573104372: Trillium cernuum
3416700475: Equisetum variegatum
1844409171: Asplenium viride
1099043413: Lupinus perennis
5074458380: Lolium arundinaceum
5074459100: Mitchella repens
5074460929: Ranunculus abortivus
5074462401: Berberis vulgaris
5074462922: Puccinellia maritima
5074463633: Triadenum virginicum
5074466908: Rumex crispus
5074468019: Viburnum cassinoides
5074468819: Lysimachia terrestris
5074469577: Pieris floribunda
5074470404: Myrica gale
5102793515: Nabalus altissima
